,parentCouponId,paymentId,userId
0,54,,23116005862345
1,54,,23116005882345
2,2,,23116005902345
3,26,,23116005902345
4,54,,23116005902345
5,2,,23116005922345
6,26,,23116005922345
7,54,,23116005922345
8,2,,23116005942345
9,26,,23116005942345
10,54,,23116005942345
11,2,,23116005962345
12,26,,23116005962345
13,54,,23116005962345
14,26,,23116005982345
15,54,,23116005982345
16,2,,23116006022345
17,26,,23116006022345
18,54,,23116006022345
19,2,,23116006062345
20,26,,23116006062345
21,54,,23116006062345
22,26,,23116006102345
23,54,,23116006102345
24,2,,23116006122345
25,26,,23116006122345
26,54,,23116006122345
27,26,,23116006242345
28,54,,23116006242345
29,2,,23116006262345
30,26,,23116006262345
31,54,,23116006262345
32,26,,23116006282345
33,2,,23116006302345
34,26,,23116006302345
35,54,,23116006302345
36,2,,23116006322345
37,26,,23116006322345
38,54,,23116006322345
39,26,,23116006342345
40,54,,23116006342345
41,2,,23116006362345
42,26,,23116006362345
43,54,,23116006362345
44,26,,23116006382345
45,54,,23116006382345
46,26,,23116006402345
47,54,,23116006402345
48,26,,23116006442345
49,54,,23116006442345
50,2,,23116006462345
51,26,,23116006462345
52,54,,23116006462345
53,26,,23116006482345
54,54,,23116006482345
55,26,,23116006502345
56,54,,23116006502345
57,26,,23116006522345
58,54,,23116006522345
59,2,,23116006582345
60,26,,23116006582345
61,54,,23116006582345
62,26,,23116006602345
63,54,,23116006602345
64,26,,23116006642345
65,54,,23116006642345
66,2,,23116006662345
67,26,,23116006662345
68,54,,23116006662345
69,26,,23116006682345
70,26,,23116006702345
71,54,,23116006702345
72,2,,23116006722345
73,26,,23116006722345
74,54,,23116006722345
75,26,,23116006742345
76,2,17199798,23116006762345
77,26,24935530,23116006782345
78,26,,23116006802345
79,26,,23116006822345
80,2,,23116006842345
81,26,,23116006842345
82,54,,23116006842345
83,26,,23116006882345
84,54,,23116006882345
85,26,,23116006922345
86,54,,23116006922345
87,2,,23116006962345
88,26,,23116006962345
89,54,,23116006962345
90,26,25060682,23116006982345
91,2,,23116007002345
92,26,,23116007002345
93,54,,23116007002345
94,26,,23116007022345
95,26,,23116007042345
96,26,,23116007062345
97,26,,23116007082345
98,54,,23116007082345
99,2,,23116007102345
100,26,,23116007102345
101,54,,23116007102345
102,2,16199436,23116007142345
103,54,,23116007142345
104,26,,23116007162345
105,54,,23116007162345
106,2,,23116007182345
107,26,,23116007182345
108,54,,23116007182345
109,26,,23116007202345
110,54,,23116007202345
111,2,,23116007262345
112,26,,23116007262345
113,54,,23116007262345
114,26,,23116007282345
115,54,,23116007282345
116,26,,23116007302345
117,54,,23116007302345
118,26,,23116007322345
119,54,,23116007322345
120,2,,23116007342345
121,26,,23116007342345
122,54,,23116007342345
123,26,,23116007362345
124,54,,23116007362345
125,26,,23116007382345
126,54,,23116007382345
127,26,,23116007402345
128,26,,23116007422345
129,2,,23116007442345
130,26,,23116007442345
131,54,,23116007442345
132,26,,23116007462345
133,54,,23116007462345
134,2,17765132,23116007482345
135,4,19855070,23116007482345
136,2,18217490,23116007522345
137,26,,23116007542345
138,54,,23116007542345
139,2,,23116007562345
140,26,,23116007562345
141,54,,23116007562345
142,2,,23116007622345
143,54,,23116007622345
144,26,,23116007642345
145,26,,23116007662345
146,54,,23116007662345
147,2,,23116007722345
148,26,,23116007722345
149,54,,23116007722345
150,4,18731120,23116007742345
151,26,,23116007742345
152,54,,23116007742345
153,2,,23116007802345
154,26,,23116007822345
155,2,,23116007862345
156,26,,23116007862345
157,54,,23116007862345
158,54,,23116007882345
159,2,,23116007902345
160,26,,23116007902345
161,54,,23116007902345
162,2,,23116007922345
163,26,,23116007922345
164,54,,23116007922345
165,26,,23116007942345
166,26,,23116008002345
167,54,,23116008002345
168,26,,23116008022345
169,54,,23116008022345
170,26,,23116008062345
171,54,,23116008062345
172,26,,23116008082345
173,54,,23116008082345
174,2,,23116008102345
175,26,,23116008102345
176,54,,23116008102345
177,26,,23116008122345
178,26,,23116008142345
179,54,,23116008142345
180,2,,23116008182345
181,26,,23116008182345
182,54,,23116008182345
183,26,,23116008202345
184,54,,23116008202345
185,26,,23116008242345
186,26,,23116008302345
187,26,,23116008342345
188,26,25691260,23116008362345
189,2,,23116008402345
190,54,,23116008402345
191,26,,23116008462345
192,2,,23116008522345
193,26,,23116008522345
194,54,,23116008522345
195,2,,23116008562345
196,26,,23116008562345
197,54,,23116008562345
198,26,,23116008582345
199,54,,23116008582345
200,26,,23116008602345
201,54,,23116008602345
202,26,,23116008622345
203,54,,23116008622345
204,2,,23116008642345
205,26,,23116008642345
206,54,,23116008642345
207,26,,23116008662345
208,54,,23116008662345
209,2,,23116008682345
210,54,,23116008722345
211,2,,23116008782345
212,26,,23116008782345
213,54,,23116008782345
214,26,,23116008802345
215,54,,23116008802345
216,54,,23116008842345
217,26,,23116008862345
218,26,,23116008902345
219,26,,23116008922345
220,26,,23116008942345
221,26,,23116008962345
222,54,,23116008962345
223,26,,23116008982345
224,26,,23116009002345
225,54,,23116009002345
226,26,,23116009022345
227,54,,23116009022345
228,26,,23116009042345
229,26,,23116009062345
230,26,,23116009082345
231,26,,23116009122345
232,26,,23116009142345
233,54,,23116009142345
234,26,,23116009162345
235,54,,23116009162345
236,2,,23116009182345
237,26,,23116009202345
238,54,,23116009202345
239,26,,23116009222345
240,26,,23116009242345
241,2,,23116009262345
242,26,,23116009262345
243,54,,23116009262345
244,26,,23116009282345
245,54,,23116009282345
246,2,,23116009302345
247,26,,23116009302345
248,54,,23116009302345
249,26,,23116009342345
250,54,,23116009342345
251,26,,23116009362345
252,26,26084988,23116009382345
253,26,26146606,23116009382345
254,26,,23116009422345
255,26,,23116009462345
256,54,,23116009462345
257,26,,23116009482345
258,26,,23116009502345
259,26,,23116009522345
260,26,,23116009542345
261,26,,23116009562345
262,54,,23116009562345
263,26,,23116009582345
264,26,,23116009622345
265,54,,23116009622345
266,2,16519122,23116009642345
267,4,18052650,23116009642345
268,26,25853958,23116009642345
269,2,,23116009722345
270,26,,23116009722345
271,54,,23116009722345
272,26,,23116009762345
273,54,,23116009762345
274,26,,23116009842345
275,26,,23116009902345
276,54,,23116009902345
277,26,,23116009922345
278,54,,23116009922345
279,26,,23116009962345
280,54,,23116009962345
281,54,,23116010002345
282,26,,23116010022345
283,54,,23116010022345
284,26,,23116010062345
285,54,,23116010062345
286,26,,23116010082345
287,54,,23116010082345
288,26,,23116010102345
289,54,,23116010102345
290,26,,23116010122345
291,26,,23116010142345
292,54,,23116010142345
293,26,,23116010162345
294,26,,23116010182345
295,54,,23116010182345
296,26,,23116010202345
297,26,,23116010242345
298,54,,23116010242345
299,2,,23116010262345
300,26,25992636,23116010262345
301,26,,23116010282345
302,54,,23116010282345
303,26,,23116010302345
304,54,,23116010302345
305,26,,23116010322345
306,54,,23116010322345
307,26,,23116010342345
308,26,,23116010362345
309,26,,23116010382345
310,54,,23116010382345
311,26,,23116010422345
312,2,,23116010442345
313,26,,23116010442345
314,54,,23116010442345
315,26,,23116010462345
316,26,,23116010502345
317,54,,23116010502345
318,26,,23116010542345
319,54,,23116010542345
320,26,,23116010562345
321,54,,23116010562345
322,26,,23116010582345
323,54,,23116010582345
324,54,,23116010602345
325,26,,23116010622345
326,26,,23116010662345
327,54,,23116010662345
328,26,,23116010682345
329,54,,23116010682345
330,26,,23116010702345
331,54,,23116010702345
332,26,,23116010722345
333,54,,23116010722345
334,26,,23116010742345
335,26,,23116010762345
336,54,,23116010762345
337,26,,23116010782345
338,54,,23116010782345
339,26,,23116010802345
340,26,,23116010822345
341,54,,23116010822345
342,26,,23116010862345
343,54,,23116010862345
344,26,,23116010882345
345,2,,23116010902345
346,26,,23116010902345
347,54,,23116010902345
348,2,,23116010922345
349,26,,23116010922345
350,54,,23116010922345
351,26,,23116010962345
352,54,,23116010962345
353,26,,23116010982345
354,54,,23116010982345
355,26,,23116011002345
356,54,,23116011002345
357,26,,23116011022345
358,54,,23116011022345
359,26,,23116011042345
360,2,,23116011082345
361,26,,23116011082345
362,54,,23116011082345
363,2,,23116011102345
364,26,,23116011102345
365,54,,23116011102345
366,26,,23116011122345
367,54,,23116011122345
368,26,,23116011142345
369,54,,23116011142345
370,26,,23116011162345
371,54,,23116011162345
372,2,,23116011202345
373,26,,23116011202345
374,54,,23116011202345
375,2,,23116011242345
376,26,,23116011242345
377,54,,23116011242345
378,2,,23116011262345
379,26,,23116011262345
380,54,,23116011262345
381,26,,23116011282345
382,54,,23116011282345
383,2,,23116011302345
384,26,,23116011302345
385,54,,23116011302345
