,vaultType,availableAmount,userId,updatedOn
0,1,0.0,23116005882345,2014-12-31 22:06:14
1,1,20.0,23116005902345,2014-11-26 18:22:10
2,1,20.0,23116005922345,2014-11-26 18:22:04
3,1,20.0,23116005942345,2014-11-26 18:22:10
4,1,20.0,23116005962345,2014-11-26 18:22:12
5,1,20.0,23116006022345,2014-11-26 18:22:12
6,1,20.0,23116006062345,2014-11-26 18:22:13
7,1,20.0,23116006122345,2014-11-26 18:22:14
8,1,0.0,23116006242345,2014-07-01 00:30:06
9,1,20.0,23116006262345,2014-11-26 18:22:16
10,1,20.0,23116006302345,2014-11-26 18:22:17
11,1,20.0,23116006322345,2014-11-26 18:22:22
12,1,20.0,23116006362345,2014-11-26 18:22:22
13,1,0.0,23116006382345,2014-07-24 15:52:45
14,1,20.0,23116006462345,2014-11-26 18:22:23
15,1,20.0,23116006482345,2014-11-26 16:26:56
16,1,20.0,23116006582345,2014-11-26 18:22:24
17,1,20.0,23116006662345,2014-11-26 18:22:24
18,1,20.0,23116006702345,2014-11-26 18:22:31
19,1,20.0,23116006722345,2014-11-26 18:22:30
20,1,50.0,23116006762345,2015-02-03 19:29:15
21,1,20.0,23116006842345,2014-11-26 18:22:31
22,1,0.0,23116006882345,2014-12-28 23:40:09
23,1,20.0,23116006962345,2014-11-26 18:22:43
24,1,0.0,23116006982345,2014-12-03 23:09:52
25,1,20.0,23116007002345,2014-11-26 18:22:48
26,1,20.0,23116007082345,2014-11-26 18:22:49
27,1,20.0,23116007102345,2014-11-26 18:22:48
28,1,150.0,23116007142345,2015-02-20 20:03:07
29,1,20.0,23116007182345,2014-11-26 18:22:50
30,1,0.0,23116007202345,2014-07-04 02:00:58
31,1,20.0,23116007262345,2014-11-26 18:22:55
32,1,0.0,23116007302345,2014-12-01 17:31:30
33,1,20.0,23116007342345,2014-11-26 18:22:56
34,1,20.0,23116007442345,2014-11-26 18:23:00
35,1,0.0,23116007482345,2014-12-21 16:57:17
36,1,20.0,23116007542345,2014-11-26 18:23:16
37,1,20.0,23116007562345,2014-11-26 18:23:01
38,1,0.0,23116007622345,2015-01-14 21:44:12
39,1,20.0,23116007722345,2014-11-26 17:45:42
40,1,0.0,23116007802345,2015-01-26 23:47:56
41,1,20.0,23116007862345,2014-11-26 18:23:31
42,1,40.0,23116007882345,2014-11-26 19:51:46
43,1,20.0,23116007902345,2014-11-26 18:23:17
44,1,20.0,23116007922345,2014-11-26 18:23:20
45,1,20.0,23116008002345,2014-11-26 18:23:23
46,1,20.0,23116008022345,2014-11-26 18:23:21
47,1,0.0,23116008082345,2014-11-30 00:08:25
48,1,20.0,23116008102345,2014-11-26 18:23:24
49,1,0.0,23116008182345,2014-12-20 14:23:00
50,1,0.0,23116008362345,2014-07-03 18:10:27
51,1,0.0,23116008382345,2015-03-20 15:33:06
52,1,20.0,23116008402345,2014-11-26 18:23:29
53,1,20.0,23116008522345,2014-11-26 18:23:32
54,1,20.0,23116008562345,2014-11-26 18:30:07
55,1,20.0,23116008582345,2014-11-26 18:23:37
56,1,20.0,23116008642345,2014-11-26 18:23:37
57,1,0.0,23116008682345,2014-12-21 10:33:55
58,1,0.0,23116008722345,2014-11-15 17:48:10
59,1,0.0,23116008742345,2014-09-11 17:14:58
